City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,nizhnyaya omka,28,RU,1598326168,85,55.43,74.94,55.11,8.43
1,neyshabur,0,IR,1598326168,49,36.21,58.8,63.86,2.19
2,kangaatsiaq,100,GL,1598326168,90,68.31,-53.46,44.06,5.03
3,merauke,52,ID,1598326168,62,-8.47,140.33,81.86,18.01
4,cape town,100,ZA,1598326168,93,-33.93,18.42,48.2,5.82
5,jamestown,40,US,1598326168,78,42.1,-79.24,71.6,4.7
6,mar del plata,90,AR,1598326168,93,-38.0,-57.56,54.0,5.82
7,yellowknife,75,CA,1598325929,82,62.46,-114.35,55.99,10.29
8,rikitea,0,PF,1598326168,89,-23.12,-134.97,71.83,11.9
9,saint george,1,US,1598326167,16,37.1,-113.58,96.01,2.62
10,fort nelson,75,CA,1598326169,93,58.81,-122.7,55.4,1.61
11,busselton,59,AU,1598326021,47,-33.65,115.33,66.99,5.06
12,touros,0,BR,1598326169,94,-5.2,-35.46,71.6,3.36
13,komsomolskiy,6,UZ,1598326021,30,40.43,71.72,80.6,2.24
14,peterhead,75,GB,1598326021,93,57.51,-1.8,50.0,3.36
15,ekuvukeni,0,ZA,1598326169,58,-28.47,30.16,47.71,1.03
16,nabire,92,ID,1598325907,61,-3.37,135.48,86.34,5.39
17,albany,1,US,1598326159,82,42.6,-73.97,73.0,1.01
18,killin,1,US,1598326169,78,33.61,-91.74,78.8,6.06
19,praia,40,CV,1598326169,83,14.92,-23.51,78.8,3.36
20,micheweni,62,TZ,1598326169,82,-4.97,39.83,75.25,10.29
21,kahului,40,US,1598325876,52,20.89,-156.47,87.8,21.92
22,mataura,69,NZ,1598326169,68,-46.19,168.86,46.0,15.99
23,avarua,63,CK,1598326169,69,-21.21,-159.78,75.2,12.75
24,turukhansk,83,RU,1598326169,68,65.82,87.98,63.28,8.97
25,poum,91,NC,1598326022,77,-20.23,164.02,71.37,15.17
26,grajau,20,BR,1598326169,53,-5.82,-46.14,75.49,3.38
27,arraial do cabo,19,BR,1598326022,70,-22.97,-42.03,66.56,12.86
28,dikson,99,RU,1598326169,87,73.51,80.55,47.88,7.07
29,barrow,90,US,1598325901,81,71.29,-156.79,44.6,4.7
30,makubetsu,75,JP,1598326170,73,45.37,141.82,75.2,8.05
31,punta arenas,0,CL,1598326170,86,-53.15,-70.92,32.0,9.17
32,faya,29,SA,1598326156,60,18.39,42.45,69.8,5.39
33,ushuaia,40,AR,1598325910,90,-54.8,-68.3,32.0,4.29
34,victoria,1,HK,1598326006,59,22.29,114.16,93.0,11.01
35,benguela,99,AO,1598326170,82,-12.58,13.41,71.1,1.28
36,kaitangata,37,NZ,1598326023,59,-46.28,169.85,44.01,8.01
37,hamilton,20,US,1598326023,78,39.18,-84.53,79.0,5.82
38,port alfred,99,ZA,1598326170,88,-33.59,26.89,62.22,17.83
39,sao felix do xingu,80,BR,1598326170,80,-6.64,-51.99,73.65,1.9
40,vao,0,NC,1598326023,64,-22.67,167.48,69.19,13.09
41,auki,56,SB,1598326023,67,-8.77,160.7,85.28,2.55
42,tuktoyaktuk,20,CA,1598326157,87,69.45,-133.04,53.6,8.05
43,ostrovnoy,14,RU,1598326170,81,68.05,39.51,52.79,10.78
44,new norfolk,58,AU,1598326023,76,-42.78,147.06,55.0,1.99
45,erzin,0,TR,1598326170,72,36.96,36.2,73.99,1.34
46,cabo san lucas,0,MX,1598325959,70,22.89,-109.91,82.99,3.0
47,gunjur,40,GM,1598326170,94,13.2,-16.73,78.8,8.61
48,thanh hoa,87,VN,1598325876,61,19.8,105.77,89.46,3.96
49,ribeira grande,67,PT,1598326170,92,38.52,-28.7,73.69,13.53
50,kruisfontein,100,ZA,1598326171,88,-34.0,24.73,57.0,1.01
51,verkhnyaya inta,100,RU,1598326171,66,65.98,60.31,55.76,2.77
52,grindavik,20,IS,1598326153,100,63.84,-22.43,42.8,6.93
53,honiara,20,SB,1598326171,66,-9.43,159.95,87.8,9.17
54,margate,100,GB,1598326171,94,51.38,1.39,64.0,4.0
55,lorengau,72,PG,1598326171,80,-2.02,147.27,82.31,11.14
56,kodiak,1,US,1598326171,48,57.79,-152.41,64.4,13.87
57,agde,11,FR,1598326024,77,43.31,3.48,63.0,4.7
58,birnin kebbi,100,NG,1598326171,95,12.45,4.2,71.91,6.2
59,sisimiut,64,GL,1598326171,82,66.94,-53.67,43.72,4.25
60,muravlenko,29,RU,1598326171,84,63.79,74.52,54.57,8.66
61,hithadhoo,92,MV,1598326024,66,-0.6,73.08,83.28,2.19
62,waipawa,28,NZ,1598326171,67,-41.41,175.52,57.99,14.99
63,esperance,39,AU,1598326171,77,-33.87,121.9,60.8,6.93
64,nikolskoye,26,RU,1598326025,87,59.7,30.79,55.4,6.71
65,hilo,75,US,1598326171,65,19.73,-155.09,82.4,5.82
66,pangkalanbuun,6,ID,1598326171,68,-2.68,111.62,85.42,5.68
67,kyaikkami,100,MM,1598326171,83,16.08,97.57,81.32,6.58
68,puerto ayora,80,EC,1598326152,89,-0.74,-90.35,64.99,9.51
69,atuona,14,PF,1598326025,77,-9.8,-139.03,78.39,14.63
70,lebu,99,CL,1598326171,90,-37.62,-73.65,52.2,21.59
71,hobart,40,AU,1598326096,54,-42.88,147.33,55.0,13.87
72,lagoa,57,PT,1598326025,92,39.05,-27.98,73.51,19.39
73,kangalassy,0,RU,1598326171,33,62.35,129.96,59.0,8.95
74,yinchuan,84,CN,1598326171,24,38.47,106.27,82.92,10.2
75,mahebourg,75,MU,1598326158,73,-20.41,57.7,69.8,11.41
76,san policarpo,51,PH,1598326171,68,12.18,125.51,86.4,7.09
77,los llanos de aridane,14,ES,1598326171,83,28.66,-17.92,77.0,16.11
78,burns lake,19,CA,1598326025,81,54.23,-125.75,53.73,3.83
79,fortuna,20,US,1598326026,100,40.6,-124.16,57.99,8.05
80,biltine,99,TD,1598325963,78,14.53,20.92,77.58,6.11
81,teahupoo,20,PF,1598326172,65,-17.83,-149.27,82.4,9.17
82,bambous virieux,75,MU,1598326172,73,-20.34,57.76,69.8,11.41
83,vaini,20,TO,1598326172,78,-21.2,-175.2,78.8,8.05
84,san cristobal,99,VE,1598326172,91,7.77,-72.22,65.7,2.28
85,shimoda,20,JP,1598326172,70,34.67,138.95,84.2,12.75
86,laguna,1,US,1598326026,42,38.42,-121.42,84.99,8.05
87,cananeia,0,BR,1598326172,80,-25.01,-47.93,60.8,2.46
88,butaritari,100,KI,1598326172,71,3.07,172.79,82.09,8.7
89,bluff,49,NZ,1598326154,68,-46.6,168.33,46.0,15.99
90,hermanus,100,ZA,1598326172,91,-34.42,19.23,50.0,6.78
91,ahipara,14,NZ,1598326153,74,-35.17,173.17,58.77,18.3
92,tuatapere,95,NZ,1598326172,68,-46.13,167.68,46.0,15.99
93,provideniya,75,RU,1598326026,76,64.38,-173.3,55.4,8.95
94,gondanglegi,0,ID,1598326027,50,-7.75,112.01,87.73,6.71
95,havre-saint-pierre,90,CA,1598326027,93,50.23,-63.6,51.8,3.36
96,maragogi,0,BR,1598326153,75,-9.01,-35.22,70.3,3.51
97,norman wells,40,CA,1598326172,63,65.28,-126.83,64.4,4.7
98,klaksvik,68,FO,1598326172,100,62.23,-6.59,39.2,1.12
99,nanortalik,82,GL,1598326027,86,60.14,-45.24,42.78,7.85
100,bethel,1,US,1598326151,83,41.37,-73.41,73.99,3.36
101,lavrentiya,92,RU,1598326027,88,65.58,-171.0,48.81,4.0
102,cidreira,58,BR,1598326153,77,-30.18,-50.21,62.13,23.15
103,dhule,85,IN,1598326172,72,20.9,74.78,81.18,15.66
104,mikuni,40,JP,1598326173,62,36.22,136.15,89.6,8.05
105,piet retief,0,ZA,1598326172,51,-27.01,30.81,48.15,4.05
106,ulaanbaatar,75,MN,1598326173,62,47.91,106.88,59.0,3.96
107,upernavik,100,GL,1598326173,89,72.79,-56.15,42.8,2.28
108,havoysund,75,NO,1598326173,100,71.0,24.66,46.4,21.92
109,cristalina,0,BR,1598326173,71,-16.77,-47.61,57.54,8.08
110,guerrero negro,0,MX,1598326173,80,27.98,-114.06,73.74,18.66
111,rawson,3,AR,1598326166,78,-43.3,-65.1,45.34,22.41
112,ulety,68,RU,1598326027,67,51.36,112.48,61.88,4.32
113,cadillac,40,US,1598326169,88,44.25,-85.4,71.6,4.7
114,noyabrsk,93,RU,1598326173,91,63.2,75.45,54.12,9.82
115,ilulissat,85,GL,1598326173,93,69.22,-51.1,39.2,0.96
116,asyut,0,EG,1598326173,49,27.18,31.18,73.4,6.93
117,tasiilaq,10,GL,1598326173,85,65.61,-37.64,37.4,3.33
118,arman,0,RU,1598326028,49,59.7,150.17,54.7,6.04
119,oudtshoorn,100,ZA,1598326173,100,-33.59,22.2,48.2,3.36
120,darovskoy,99,RU,1598326173,88,58.77,47.96,60.42,7.83
121,pangnirtung,100,CA,1598326173,84,66.15,-65.71,45.03,3.18
122,high level,90,CA,1598325980,100,58.52,-117.14,55.4,9.17
123,toguchin,60,RU,1598326174,75,55.24,84.39,59.83,4.23
124,rudnik,100,PL,1598326174,93,49.85,19.85,59.0,2.24
125,maracacume,1,BR,1598326174,97,-2.04,-45.96,71.37,2.64
126,castro,39,BR,1598326174,94,-24.79,-50.01,48.92,9.64
127,khatanga,33,RU,1598326160,58,71.97,102.5,65.07,6.46
128,talnakh,40,RU,1598326028,77,69.49,88.4,62.6,11.18
129,ancud,75,CL,1598326165,93,-41.87,-73.82,42.01,6.93
130,chokurdakh,80,RU,1598326174,62,70.63,147.92,43.12,5.91
131,sabalgarh,8,IN,1598326174,79,26.25,77.4,81.61,10.96
132,san jose,75,US,1598325935,68,37.34,-121.89,75.99,13.87
133,walvis bay,5,NA,1598326174,93,-22.96,14.51,55.0,4.7
134,kapaa,20,US,1598326174,74,22.08,-159.32,82.4,11.41
135,kirakira,15,SB,1598326029,68,-10.45,161.92,85.28,6.85
136,havelock,1,US,1598326174,83,34.88,-76.9,81.0,9.17
137,tomatlan,20,MX,1598326174,90,19.93,-105.25,77.23,2.8
138,pringsewu,91,ID,1598326174,67,-5.36,104.97,83.77,4.79
139,yenagoa,71,NG,1598326174,90,4.92,6.26,72.21,2.68
140,damghan,52,IR,1598326029,55,36.17,54.35,64.31,4.47
141,riviere-au-renard,75,CA,1598326174,87,49.0,-64.4,51.8,7.11
142,la ronge,40,CA,1598326174,87,55.1,-105.28,55.4,6.93
143,sakakah,0,SA,1598326174,19,29.97,40.21,80.6,5.82
144,krasnoborsk,47,RU,1598325921,95,61.56,45.93,56.08,5.44
145,bredasdorp,100,ZA,1598326175,93,-34.53,20.04,50.0,5.82
